r,t,f,y,ProductionByTechnologyAnnual
RE1,DEMCOMHEEL,COMHEL,2057,67.0884
RE1,DEMCOMHEEL,COMHEL,2058,67.6166
RE1,DEMCOMHEEL,COMHEL,2059,68.1488
RE1,DEMCOMHEEL,COMHEL,2060,68.6853
RE1,DEMCOMHEEL,COMHEL,2061,69.2259
RE1,DEMCOMHEEL,COMHEL,2062,69.7709
RE1,DEMCOMHEEL,COMHEL,2063,70.3202
RE1,DEMCOMHEEL,COMHEL,2064,70.8737
RE1,DEMCOMHEEL,COMHEL,2065,71.4316
RE1,DEMCOMHEEL,COMHEL,2066,71.9939
RE1,DEMCOMHEEL,COMHEL,2067,72.5607
RE1,DEMCOMHEEL,COMHEL,2068,73.1319
RE1,DEMCOMHEEL,COMHEL,2069,73.7075
RE1,DEMCOMHEEL,COMHEL,2070,74.2878
RE1,DEMINDELC,INDELC,2015,328.0418
RE1,DEMINDELC,INDELC,2016,347.0108
RE1,DEMINDELC,INDELC,2017,363.2685
RE1,DEMINDELC,INDELC,2018,379.5262
RE1,DEMINDELC,INDELC,2019,395.7839
RE1,DEMINDELC,INDELC,2020,412.0416
RE1,DEMINDELC,INDELC,2021,424.52
RE1,DEMINDELC,INDELC,2022,436.9984
RE1,DEMINDELC,INDELC,2023,449.4769
RE1,DEMINDELC,INDELC,2024,461.9553
RE1,DEMINDELC,INDELC,2025,15.2594
RE1,DEMINDELC,INDELC,2026,15.6931
RE1,DEMINDELC,INDELC,2027,16.1268
RE1,DEMINDELC,INDELC,2028,18.5822
RE1,DEMINDELC,INDELC,2029,28.9254
RE1,DEMINDELC,INDELC,2030,13.2157
RE1,DEMINDELC,INDELC,2031,13.5916
RE1,DEMINDELC,INDELC,2032,11.2417
RE1,DEMINDELC,INDELC,2033,11.5443
RE1,DEMINDELC,INDELC,2034,11.8468
RE1,DEMINDELC,INDELC,2035,15.0952
RE1,DEMINDELC,INDELC,2036,15.3978
RE1,DEMINDELC,INDELC,2037,15.7005
RE1,DEMINDELC,INDELC,2038,16.0031
