r,t,y,AnnualFixedOperatingCost
RE1,PWRCOA001,2027,1949.912
RE1,PWRCOA001,2028,2116.7632
RE1,PWRCOA001,2029,2099.1341
RE1,PWRCOA001,2030,2099.1341
RE1,PWRCOA001,2031,2070.8631
RE1,PWRCOA001,2032,2135.1762
RE1,PWRCOA001,2033,2135.1762
RE1,PWRCOA001,2034,2135.1762
RE1,PWRCOA001,2035,2135.1762
RE1,PWRCOA001,2036,2135.1762
RE1,PWRCOA001,2037,2062.8862
RE1,PWRCOA001,2038,2062.8862
RE1,PWRCOA001,2039,2062.8862
RE1,PWRCOA001,2040,2062.8862
RE1,PWRCOA001,2041,2062.8862
RE1,PWRCOA001,2042,2027.4131
RE1,PWRCOA001,2043,2027.4131
RE1,PWRCOA001,2044,2027.4131
RE1,PWRCOA001,2045,2027.4131
RE1,PWRCOA001,2046,2027.4131
RE1,PWRCOA001,2047,2027.4131
RE1,PWRCOA001,2048,2027.4131
RE1,PWRCOA001,2049,2027.4131
RE1,PWRCOA001,2050,2027.4131
RE1,PWRCOA001,2051,2027.4131
RE1,PWRCOA001,2052,2027.4131
RE1,PWRCOA001,2053,2027.4131
RE1,PWRCOA001,2054,2027.4131
RE1,PWRCOA001,2055,2027.4131
RE1,PWRCOA001,2056,2027.4131
RE1,PWRCOA001,2057,2027.4131
RE1,PWRCOA001,2058,2027.4131
RE1,PWRCOA001,2059,2027.4131
RE1,PWRCOA001,2060,2027.4131
RE1,PWRCOA001,2061,2027.4131
RE1,PWRCOA001,2062,2027.4131
RE1,PWRCOA001,2063,2027.4131
RE1,PWRCOA001,2064,2027.4131
RE1,PWRCOA001,2065,2027.4131
RE1,PWRCOA001,2066,2027.4131
RE1,PWRCOA001,2067,2027.4131
RE1,PWRCOA001,2068,2027.4131
RE1,PWRCOA001,2069,2027.4131
RE1,PWRCOA001,2070,2027.4131
RE1,PWRGEO,2025,0.6822
RE1,PWRGEO,2026,0.6822
RE1,PWRGEO,2027,0.6822
RE1,PWRGEO,2028,0.6822
RE1,PWRGEO,2029,0.6822
