r,l,f,y,Demand
RE1,S104,RESELC,2063,4.3026
RE1,S104,RESELC,2064,4.3506
RE1,S104,RESELC,2065,4.3992
RE1,S104,RESELC,2066,4.4482
RE1,S104,RESELC,2067,4.4978
RE1,S104,RESELC,2068,4.548
RE1,S104,RESELC,2069,4.5987
RE1,S104,RESELC,2070,4.65
RE1,S104,COMELC,2015,1.4548
RE1,S104,COMELC,2016,1.4548
RE1,S104,COMELC,2017,1.4548
RE1,S104,COMELC,2018,1.4548
RE1,S104,COMELC,2019,1.4548
RE1,S104,COMELC,2020,1.4548
RE1,S104,COMELC,2021,1.4548
RE1,S104,COMELC,2022,2.1458
RE1,S104,COMELC,2023,2.2071
RE1,S104,COMELC,2024,2.2684
RE1,S104,COMELC,2025,2.3296
RE1,S104,COMELC,2026,2.3959
RE1,S104,COMELC,2027,2.4621
RE1,S104,COMELC,2028,2.5283
RE1,S104,COMELC,2029,2.5945
RE1,S104,COMELC,2030,2.6607
RE1,S104,COMELC,2031,2.7364
RE1,S104,COMELC,2032,2.8121
RE1,S104,COMELC,2033,2.8877
RE1,S104,COMELC,2034,2.9634
RE1,S104,COMELC,2035,3.0391
RE1,S104,COMELC,2036,3.1
RE1,S104,COMELC,2037,3.161
RE1,S104,COMELC,2038,3.2219
RE1,S104,COMELC,2039,3.2828
RE1,S104,COMELC,2040,3.3437
RE1,S104,COMELC,2041,3.4034
RE1,S104,COMELC,2042,3.4631
RE1,S104,COMELC,2043,3.5227
RE1,S104,COMELC,2044,3.5824
RE1,S104,COMELC,2045,3.642
RE1,S104,COMELC,2046,3.6836
RE1,S104,COMELC,2047,3.7251
RE1,S104,COMELC,2048,3.7667
RE1,S104,COMELC,2049,3.8082
RE1,S104,COMELC,2050,3.8498
RE1,S104,COMELC,2051,3.8927
RE1,S104,COMELC,2052,3.9361
RE1,S104,COMELC,2053,3.98
RE1,S104,COMELC,2054,4.0244
RE1,S104,COMELC,2055,4.0693
RE1,S104,COMELC,2056,4.1147
RE1,S104,COMELC,2057,4.1606
RE1,S104,COMELC,2058,4.207
RE1,S104,COMELC,2059,4.254
RE1,S104,COMELC,2060,4.3014
RE1,S104,COMELC,2061,4.3494
RE1,S104,COMELC,2062,4.3979
RE1,S104,COMELC,2063,4.447
RE1,S104,COMELC,2064,4.4966
RE1,S104,COMELC,2065,4.5467
RE1,S104,COMELC,2066,4.5974
RE1,S104,COMELC,2067,4.6487
RE1,S104,COMELC,2068,4.7006
RE1,S104,COMELC,2069,4.753
RE1,S104,COMELC,2070,4.806
RE1,S105,INDELC,2015,3.6595
RE1,S105,INDELC,2016,3.6595
RE1,S105,INDELC,2017,3.6595
RE1,S105,INDELC,2018,3.6595
RE1,S105,INDELC,2019,3.6595
RE1,S105,INDELC,2020,3.6595
RE1,S105,INDELC,2021,3.6595
RE1,S105,INDELC,2022,4.159
RE1,S105,INDELC,2023,4.2778
RE1,S105,INDELC,2024,4.3965
RE1,S105,INDELC,2025,4.5153
RE1,S105,INDELC,2026,4.6436
RE1,S105,INDELC,2027,4.7719
RE1,S105,INDELC,2028,4.9003
RE1,S105,INDELC,2029,5.0286
RE1,S105,INDELC,2030,5.1569
RE1,S105,INDELC,2031,5.3036
RE1,S105,INDELC,2032,5.4503
RE1,S105,INDELC,2033,5.597
RE1,S105,INDELC,2034,5.7436
RE1,S105,INDELC,2035,5.8903
RE1,S105,INDELC,2036,6.0084
RE1,S105,INDELC,2037,6.1265
RE1,S105,INDELC,2038,6.2446
RE1,S105,INDELC,2039,6.3627
RE1,S105,INDELC,2040,6.4808
RE1,S105,INDELC,2041,6.5964
RE1,S105,INDELC,2042,6.712
RE1,S105,INDELC,2043,6.8277
RE1,S105,INDELC,2044,6.9433
