lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
THA96PWRSOL001,THA,PWRSOL001,96,TaSangSolarP18078,20.0,2014,0.008
THA97PWRSOL001,THA,PWRSOL001,97,TakhianSonne18079,20.0,2014,0.008
THA98PWRSOL001,THA,PWRSOL001,98,ThaMuangSolar18080,20.0,2014,0.008
THA99PWRSOL001,THA,PWRSOL001,99,ThapSakaeSola18084,20.0,2014,0.005
THA100PWRSOL001,THA,PWRSOL001,100,ThapTaiSolar18085,20.0,2014,0.002
THA101PWRSOL001,THA,PWRSOL001,101,TheMallBang18086,20.0,2014,0.001
THA102PWRSOL001,THA,PWRSOL001,102,TheMallNgam18087,20.0,2014,0.001
THA103PWRSOL001,THA,PWRSOL001,103,TheMallTha18088,20.0,2014,0.001
THA104PWRSOL001,THA,PWRSOL001,104,UbonRatchathan18090,20.0,2014,0.006
THA105PWRSOL001,THA,PWRSOL001,105,UbonRatchathan18091,20.0,2014,0.001
THA106PWRSOL001,THA,PWRSOL001,106,UdonThaniBS18092,20.0,2014,0.002
THA107PWRSOL001,THA,PWRSOL001,107,UdonThaniSP18093,20.0,2014,0.007
THA108PWRSOL001,THA,PWRSOL001,108,WangLuekSolar18095,20.0,2014,0.008
THA109PWRSOL001,THA,PWRSOL001,109,WangMan1Sola18096,20.0,2014,0.01
THA110PWRSOL001,THA,PWRSOL001,110,WangMan2Sola18097,20.0,2014,0.01
THA111PWRSOL001,THA,PWRSOL001,111,WangPhloengSo18099,20.0,2014,0.008
THA112PWRSOL001,THA,PWRSOL001,112,WichianBuriSo18100,20.0,2014,0.008
THA0PWRWND001,THA,PWRWND001,0,HuayBong17970,20.0,2009,0.207
THA1PWRWND001,THA,PWRWND001,1,LamTaKhong18003,20.0,2002,0.003
