r,t,y,TotalCapacityAnnual
RE1,PWRBIO001,2048,0.428
RE1,PWRBIO001,2049,0.428
RE1,PWRBIO001,2050,0.213
RE1,PWRCOA001,2015,5.259
RE1,PWRCOA001,2016,5.259
RE1,PWRCOA001,2017,5.259
RE1,PWRCOA001,2018,10.5448
RE1,PWRCOA001,2019,10.5448
RE1,PWRCOA001,2020,10.5448
RE1,PWRCOA001,2021,10.5448
RE1,PWRCOA001,2022,10.5448
RE1,PWRCOA001,2023,10.5448
RE1,PWRCOA001,2024,10.5448
RE1,PWRCOA001,2025,8.1448
RE1,PWRCOA001,2026,8.1448
RE1,PWRCOA001,2027,8.1448
RE1,PWRCOA001,2028,8.1448
RE1,PWRCOA001,2029,7.8168
RE1,PWRCOA001,2030,7.8168
RE1,PWRCOA001,2031,7.2908
RE1,PWRCOA001,2032,7.2908
RE1,PWRCOA001,2033,7.2908
RE1,PWRCOA001,2034,7.2908
RE1,PWRCOA001,2035,7.2908
RE1,PWRCOA001,2036,7.2908
RE1,PWRCOA001,2037,5.9458
RE1,PWRCOA001,2038,5.9458
RE1,PWRCOA001,2039,5.9458
RE1,PWRCOA001,2040,5.9458
RE1,PWRCOA001,2041,5.9458
RE1,PWRCOA001,2042,5.2858
RE1,PWRCOA001,2043,5.2858
RE1,PWRCOA001,2044,5.2858
RE1,PWRCOA001,2045,5.2858
RE1,PWRCOA001,2046,5.2858
RE1,PWRCOA001,2047,5.2858
RE1,PWRCOA001,2048,5.2858
RE1,PWRCOA001,2049,5.2858
RE1,PWRCOA001,2050,5.2858
RE1,PWRCOA001,2051,5.2858
RE1,PWRCOA001,2052,5.2858
RE1,PWRCOA001,2053,5.2858
RE1,PWRCOA001,2054,5.2858
RE1,PWRCOA001,2055,5.2858
RE1,PWRCOA001,2056,5.2858
RE1,PWRCOA001,2057,5.2858
RE1,PWRCOA001,2058,5.2858
RE1,PWRCOA001,2059,5.2858
RE1,PWRCOA001,2060,5.2858
RE1,PWRCOA001,2061,5.2858
RE1,PWRCOA001,2062,5.2858
RE1,PWRCOA001,2063,5.2858
RE1,PWRCOA001,2064,5.2858
RE1,PWRCOA001,2065,5.2858
RE1,PWRCOA001,2066,5.2858
RE1,PWRCOA001,2067,5.2858
RE1,PWRCOA001,2068,5.2858
RE1,PWRCOA001,2069,5.2858
RE1,PWRCOA001,2070,5.2858
RE1,PWRGEO,2024,0.0066
RE1,PWRGEO,2025,0.0066
RE1,PWRGEO,2026,0.0066
RE1,PWRGEO,2027,0.0066
RE1,PWRGEO,2028,0.0066
RE1,PWRGEO,2029,0.0066
RE1,PWRGEO,2030,0.0066
RE1,PWRGEO,2031,0.0066
RE1,PWRGEO,2032,0.0066
RE1,PWRGEO,2033,0.0066
RE1,PWRGEO,2034,0.0066
RE1,PWRGEO,2035,0.0066
RE1,PWRGEO,2036,0.0066
RE1,PWRGEO,2037,0.0066
RE1,PWRGEO,2038,0.0066
RE1,PWRGEO,2039,0.0066
RE1,PWRGEO,2040,0.0066
RE1,PWRGEO,2041,0.0066
RE1,PWRGEO,2042,0.0066
RE1,PWRGEO,2043,0.0066
RE1,PWRGEO,2044,0.0066
RE1,PWRGEO,2045,0.0066
RE1,PWRGEO,2046,0.0066
RE1,PWRGEO,2047,0.0066
RE1,PWRGEO,2048,0.0066
RE1,PWRGEO,2049,0.0066
RE1,PWRGEO,2050,0.0066
RE1,PWRGEO,2051,0.0066
RE1,PWRGEO,2052,0.0066
RE1,PWRGEO,2053,0.0066
RE1,PWRGEO,2054,0.0066
RE1,PWRGEO,2055,0.0066
RE1,PWRGEO,2056,0.0066
RE1,PWRGEO,2057,0.0066
RE1,PWRGEO,2058,0.0066
RE1,PWRGEO,2059,0.0066
RE1,PWRGEO,2060,0.0066
RE1,PWRGEO,2061,0.0066
RE1,PWRGEO,2062,0.0066
RE1,PWRGEO,2063,0.0066
RE1,PWRGEO,2064,0.0066
RE1,PWRGEO,2065,0.0066
RE1,PWRGEO,2066,0.0066
RE1,PWRGEO,2067,0.0066
RE1,PWRGEO,2068,0.0066
RE1,PWRGEO,2069,0.0066
RE1,PWRGEO,2070,0.0066
RE1,PWRNGS001,2015,27.132
RE1,PWRNGS001,2016,27.132
RE1,PWRNGS001,2017,27.132
RE1,PWRNGS001,2018,27.132
RE1,PWRNGS001,2019,27.132
RE1,PWRNGS001,2020,27.132
RE1,PWRNGS001,2021,27.132
RE1,PWRNGS001,2022,27.132
RE1,PWRNGS001,2023,27.132
RE1,PWRNGS001,2024,10.764
RE1,PWRNGS001,2025,10.764
RE1,PWRNGS001,2026,11.8411
RE1,PWRNGS001,2027,13.0661
RE1,PWRNGS001,2028,14.2902
