r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,MINSOL,1,2033,391.4914
RE1,MINSOL,1,2034,391.4914
RE1,MINSOL,1,2035,382.9873
RE1,MINSOL,1,2036,376.7557
RE1,MINSOL,1,2037,375.2467
RE1,MINSOL,1,2038,373.6535
RE1,MINSOL,1,2039,373.5272
RE1,MINSOL,1,2040,373.5272
RE1,MINSOL,1,2041,373.0643
RE1,MINSOL,1,2042,373.0643
RE1,MINSOL,1,2043,373.0643
RE1,MINSOL,1,2044,373.0369
RE1,MINSOL,1,2045,373.0369
RE1,MINSOL,1,2046,373.0369
RE1,MINSOL,1,2047,373.0369
RE1,MINSOL,1,2048,373.0369
RE1,MINSOL,1,2049,373.0369
RE1,MINSOL,1,2050,373.0369
RE1,MINSOL,1,2051,373.0369
RE1,MINSOL,1,2052,373.0369
RE1,MINSOL,1,2053,369.2032
RE1,MINWND,1,2015,1.1746
RE1,MINWND,1,2016,2.545
RE1,MINWND,1,2017,3.1524
RE1,MINWND,1,2018,5.5368
RE1,MINWND,1,2019,7.5648
RE1,MINWND,1,2020,7.5648
RE1,MINWND,1,2021,7.7555
RE1,MINWND,1,2022,7.7555
RE1,MINWND,1,2023,7.7555
RE1,MINWND,1,2024,7.7555
RE1,MINWND,1,2025,7.7555
RE1,MINWND,1,2026,7.7555
RE1,MINWND,1,2027,7.7555
RE1,MINWND,1,2028,7.7555
RE1,MINWND,1,2029,7.7555
RE1,MINWND,1,2030,7.7555
RE1,MINWND,1,2031,7.7555
RE1,MINWND,1,2032,7.7555
RE1,MINWND,1,2033,7.7555
RE1,MINWND,1,2034,7.7555
RE1,MINWND,1,2035,7.7555
RE1,MINWND,1,2036,6.3851
RE1,MINWND,1,2037,6.3851
RE1,MINWND,1,2038,6.3851
RE1,MINWND,1,2039,6.3851
RE1,MINWND,1,2040,6.3851
RE1,MINWND,1,2041,6.3851
RE1,MINWND,1,2042,6.3851
RE1,MINWND,1,2043,6.3851
RE1,MINWND,1,2044,6.3851
RE1,MINWND,1,2045,6.3851
RE1,MINWND,1,2046,6.3851
RE1,MINWND,1,2047,2.545
RE1,MINWND,1,2048,2.0079
RE1,MINWND,1,2049,2.0079
RE1,MINWND,1,2070,1358.4219
RE1,MINGEO,1,2024,1.4486
RE1,MINGEO,1,2025,1.4486
RE1,MINGEO,1,2026,1.4486
