r,t,y,TotalCapacityAnnual
RE1,MINSOL,2060,4635.7509
RE1,MINSOL,2061,4674.9613
RE1,MINSOL,2062,4714.4995
RE1,MINSOL,2063,4754.3682
RE1,MINSOL,2064,4794.5702
RE1,MINSOL,2065,4835.1086
RE1,MINSOL,2066,4875.9861
RE1,MINSOL,2067,4917.2057
RE1,MINSOL,2068,4889.778
RE1,MINSOL,2069,4862.102
RE1,MINSOL,2070,5042.9468
RE1,MINWND,2015,1.358
RE1,MINWND,2016,1.358
RE1,MINWND,2017,1.358
RE1,MINWND,2018,1.358
RE1,MINWND,2019,1.358
RE1,MINWND,2020,1.358
RE1,MINWND,2021,1.358
RE1,MINWND,2022,1.3386
RE1,MINWND,2023,1.3386
RE1,MINWND,2024,1.3386
RE1,MINWND,2025,1.3386
RE1,MINWND,2026,42.804
RE1,MINWND,2027,144.7239
RE1,MINWND,2028,238.9072
RE1,MINWND,2029,341.4098
RE1,MINWND,2030,361.8838
RE1,MINWND,2031,518.8233
RE1,MINWND,2032,579.7834
RE1,MINWND,2033,711.9182
RE1,MINWND,2034,830.4963
RE1,MINWND,2035,946.6554
RE1,MINWND,2036,1063.0391
RE1,MINWND,2037,1189.7101
RE1,MINWND,2038,1291.5108
RE1,MINWND,2039,1379.1623
RE1,MINWND,2040,1509.5744
RE1,MINWND,2041,1641.9352
RE1,MINWND,2042,1809.7239
RE1,MINWND,2043,1990.088
RE1,MINWND,2044,2186.1965
RE1,MINWND,2045,2295.1031
RE1,MINWND,2046,2488.1321
RE1,MINWND,2047,2719.1439
RE1,MINWND,2048,2870.2552
RE1,MINWND,2049,2985.7487
RE1,MINWND,2050,2992.4218
RE1,MINWND,2051,2993.3213
RE1,MINWND,2052,3019.0496
RE1,MINWND,2053,3045.0095
RE1,MINWND,2054,3071.203
RE1,MINWND,2055,3097.6324
RE1,MINWND,2056,3124.2998
RE1,MINWND,2057,3151.2075
RE1,MINWND,2058,3178.3577
RE1,MINWND,2059,3205.7528
RE1,MINWND,2060,3233.3949
RE1,MINWND,2061,3261.2864
RE1,MINWND,2062,3289.4297
RE1,MINWND,2063,3317.8271
RE1,MINWND,2064,3346.4809
RE1,MINWND,2065,3375.3937
RE1,MINWND,2066,3404.5678
