r,t,y,AnnualFixedOperatingCost
RE1,PWRCOA001,2054,1492.3115
RE1,PWRCOA001,2055,1492.3115
RE1,PWRCOA001,2056,1492.3115
RE1,PWRCOA001,2057,1492.3115
RE1,PWRCOA001,2058,1492.3115
RE1,PWRCOA001,2059,1492.3115
RE1,PWRCOA001,2060,1492.3115
RE1,PWRCOA001,2061,1492.3115
RE1,PWRCOA001,2062,1492.3115
RE1,PWRCOA001,2063,1492.3115
RE1,PWRCOA001,2064,1492.3115
RE1,PWRCOA001,2065,1492.3115
RE1,PWRCOA001,2066,1492.3115
RE1,PWRCOA001,2067,1492.3115
RE1,PWRCOA001,2068,1492.3115
RE1,PWRCOA001,2069,1492.3115
RE1,PWRCOA001,2070,1492.3115
RE1,PWRGEO,2021,0.66
RE1,PWRGEO,2022,0.66
RE1,PWRGEO,2023,0.66
RE1,PWRGEO,2024,0.66
RE1,PWRGEO,2025,0.66
RE1,PWRGEO,2026,0.66
RE1,PWRGEO,2027,0.66
RE1,PWRGEO,2028,0.66
RE1,PWRGEO,2029,0.66
RE1,PWRGEO,2030,0.66
RE1,PWRGEO,2031,0.66
RE1,PWRGEO,2032,0.66
RE1,PWRGEO,2033,0.66
RE1,PWRGEO,2034,0.66
RE1,PWRGEO,2035,0.66
RE1,PWRGEO,2036,0.66
RE1,PWRGEO,2037,0.66
RE1,PWRGEO,2038,0.66
RE1,PWRGEO,2039,0.66
RE1,PWRGEO,2040,0.66
RE1,PWRGEO,2041,0.66
RE1,PWRGEO,2042,0.66
RE1,PWRGEO,2043,0.66
RE1,PWRGEO,2044,0.66
RE1,PWRGEO,2045,0.66
RE1,PWRGEO,2046,0.66
RE1,PWRGEO,2047,0.66
RE1,PWRGEO,2048,0.66
RE1,PWRGEO,2049,0.66
RE1,PWRGEO,2050,0.66
RE1,PWRGEO,2051,0.66
RE1,PWRGEO,2052,0.66
RE1,PWRGEO,2053,0.66
RE1,PWRGEO,2054,0.66
RE1,PWRGEO,2055,0.66
RE1,PWRGEO,2056,0.66
RE1,PWRGEO,2057,0.66
RE1,PWRGEO,2058,0.66
RE1,PWRGEO,2059,0.66
RE1,PWRGEO,2060,0.66
RE1,PWRGEO,2061,0.66
RE1,PWRGEO,2062,0.66
RE1,PWRGEO,2063,0.66
RE1,PWRGEO,2064,0.66
RE1,PWRGEO,2065,0.66
RE1,PWRGEO,2066,0.66
RE1,PWRGEO,2067,0.66
RE1,PWRGEO,2068,0.66
RE1,PWRGEO,2069,0.66
RE1,PWRGEO,2070,0.66
RE1,PWRNGS001,2015,1085.28
RE1,PWRNGS001,2016,1085.28
RE1,PWRNGS001,2017,1085.28
RE1,PWRNGS001,2018,1085.28
RE1,PWRNGS001,2019,1085.28
RE1,PWRNGS001,2020,1085.28
RE1,PWRNGS001,2021,1085.28
RE1,PWRNGS001,2022,1085.28
RE1,PWRNGS001,2023,1085.28
RE1,PWRNGS001,2024,430.56
RE1,PWRNGS001,2025,430.56
RE1,PWRNGS001,2026,400.64
RE1,PWRNGS001,2027,400.64
RE1,PWRNGS001,2028,395.68
RE1,PWRNGS001,2029,390.8
RE1,PWRNGS001,2030,343.76
RE1,PWRNGS001,2031,334.0
RE1,PWRNGS001,2032,334.0
RE1,PWRNGS001,2033,300.96
RE1,PWRNGS001,2034,287.36
RE1,PWRNGS001,2035,287.36
RE1,PWRNGS001,2036,287.36
RE1,PWRNGS001,2037,287.36
RE1,PWRNGS001,2038,172.64
RE1,PWRNGS001,2039,172.64
RE1,PWRNGS001,2040,144.48
RE1,PWRNGS001,2041,128.0
RE1,PWRNGS001,2042,128.0
RE1,PWRNGS001,2043,128.0
RE1,PWRNGS001,2044,64.0
RE1,PWRSOL001,2015,33.513
RE1,PWRSOL001,2016,31.0765
RE1,PWRSOL001,2017,28.6401
RE1,PWRSOL001,2018,26.2036
RE1,PWRSOL001,2019,23.7671
RE1,PWRSOL001,2020,21.3307
RE1,PWRSOL001,2021,189.4281
RE1,PWRSOL001,2022,383.5188
RE1,PWRSOL001,2023,369.6521
RE1,PWRSOL001,2024,374.1361
RE1,PWRSOL001,2025,379.7817
RE1,PWRSOL001,2026,384.7541
RE1,PWRSOL001,2027,389.2995
RE1,PWRSOL001,2028,402.0509
RE1,PWRSOL001,2029,421.1995
RE1,PWRSOL001,2030,453.4542
RE1,PWRSOL001,2031,471.7448
RE1,PWRSOL001,2032,494.1998
RE1,PWRSOL001,2033,515.9394
RE1,PWRSOL001,2034,538.9688
RE1,PWRSOL001,2035,567.079
RE1,PWRSOL001,2036,594.573
RE1,PWRSOL001,2037,617.1429
RE1,PWRSOL001,2038,650.0763
RE1,PWRSOL001,2039,687.5326
RE1,PWRSOL001,2040,724.2827
RE1,PWRSOL001,2041,776.7335
RE1,PWRSOL001,2042,827.0275
RE1,PWRSOL001,2043,873.2427
RE1,PWRSOL001,2044,902.2474
RE1,PWRSOL001,2045,951.5961
RE1,PWRSOL001,2046,965.6033
RE1,PWRSOL001,2047,992.948
RE1,PWRSOL001,2048,1023.1619
RE1,PWRSOL001,2049,1054.3862
RE1,PWRSOL001,2050,1078.4704
RE1,PWRSOL001,2051,1087.7364
RE1,PWRSOL001,2052,1097.0858
RE1,PWRSOL001,2053,1106.5193
RE1,PWRSOL001,2054,1116.0377
RE1,PWRSOL001,2055,1125.6418
RE1,PWRSOL001,2056,1135.3324
RE1,PWRSOL001,2057,1145.1103
RE1,PWRSOL001,2058,1154.9764
RE1,PWRSOL001,2059,1164.9314
RE1,PWRSOL001,2060,1174.9762
RE1,PWRSOL001,2061,1185.1117
RE1,PWRSOL001,2062,1195.3386
RE1,PWRSOL001,2063,1205.6578
RE1,PWRSOL001,2064,1216.0703
RE1,PWRSOL001,2065,1226.5769
RE1,PWRSOL001,2066,1237.1784
RE1,PWRSOL001,2067,1247.8757
RE1,PWRSOL001,2068,1274.4753
RE1,PWRSOL001,2069,1301.3091
RE1,PWRSOL001,2070,1280.552
RE1,PWRCSP002,2015,0.6
RE1,PWRCSP002,2016,0.6
RE1,PWRCSP002,2017,0.6
RE1,PWRCSP002,2018,0.6
RE1,PWRCSP002,2019,0.6
RE1,PWRCSP002,2020,0.6
RE1,PWRCSP002,2021,0.6
RE1,PWRCSP002,2022,0.6
RE1,PWRCSP002,2023,0.6
RE1,PWRCSP002,2024,0.6
RE1,PWRCSP002,2025,0.6
RE1,PWRCSP002,2026,0.6
RE1,PWRCSP002,2027,0.6
RE1,PWRCSP002,2028,0.6
RE1,PWRCSP002,2029,0.6
RE1,PWRCSP002,2030,0.6
RE1,PWRCSP002,2031,0.6
RE1,PWRCSP002,2032,0.6
RE1,PWRCSP002,2033,0.6
RE1,PWRCSP002,2034,0.6
RE1,PWRCSP002,2035,0.6
RE1,PWRCSP002,2036,0.6
RE1,PWRCSP002,2037,0.6
RE1,PWRCSP002,2038,0.6
RE1,PWRCSP002,2039,0.6
RE1,PWRCSP002,2040,0.6
RE1,PWRCSP002,2041,0.6
RE1,PWRCSP002,2042,0.6
RE1,PWRCSP002,2043,0.6
RE1,PWRCSP002,2048,1672.7642
RE1,PWRCSP002,2049,5340.7425
RE1,PWRCSP002,2050,10744.918
RE1,PWRCSP002,2051,10744.918
RE1,PWRCSP002,2052,10744.918
RE1,PWRCSP002,2053,10822.938
RE1,PWRCSP002,2054,10908.39
RE1,PWRCSP002,2055,10994.298
RE1,PWRCSP002,2056,11080.665
RE1,PWRCSP002,2057,11167.491
RE1,PWRCSP002,2058,11254.779
RE1,PWRCSP002,2059,11342.529
RE1,PWRCSP002,2060,11430.743
RE1,PWRCSP002,2061,11519.421
RE1,PWRCSP002,2062,11608.566
RE1,PWRCSP002,2063,11698.178
RE1,PWRCSP002,2064,11788.259
RE1,PWRCSP002,2065,11878.809
RE1,PWRCSP002,2066,11969.831
RE1,PWRCSP002,2067,12061.325
RE1,PWRCSP002,2068,12153.292
RE1,PWRCSP002,2069,12245.732
RE1,PWRCSP002,2070,12338.65
RE1,PWRHYD001,2015,168.0126
RE1,PWRHYD001,2016,168.0126
RE1,PWRHYD001,2017,168.0126
RE1,PWRHYD001,2018,168.0126
RE1,PWRHYD001,2019,168.0126
RE1,PWRHYD001,2020,168.0126
