r,t,y,TotalCapacityAnnual
RE1,IMPCOA,2043,3645.2041
RE1,IMPCOA,2044,3810.3705
RE1,IMPCOA,2045,3975.4897
RE1,IMPCOA,2046,4057.9467
RE1,IMPCOA,2047,4154.4734
RE1,IMPCOA,2048,4223.1364
RE1,IMPCOA,2049,4274.364
RE1,IMPCOA,2050,7380.7934
RE1,IMPCOA,2051,7591.2605
RE1,IMPCOA,2052,7669.4709
RE1,IMPCOA,2053,7748.4449
RE1,IMPCOA,2054,7828.1902
RE1,IMPCOA,2055,7908.7144
RE1,IMPCOA,2056,7990.0256
RE1,IMPCOA,2057,8072.1315
RE1,IMPCOA,2058,8155.0403
RE1,IMPCOA,2059,8277.0167
RE1,IMPCOA,2060,8292.9229
RE1,IMPCOA,2061,8408.6653
RE1,IMPCOA,2062,8494.8673
RE1,IMPCOA,2063,8581.9136
RE1,IMPCOA,2064,8669.8126
RE1,IMPCOA,2065,8758.5729
RE1,IMPCOA,2066,8848.2034
RE1,IMPCOA,2067,8938.7127
RE1,IMPCOA,2068,9030.1098
RE1,IMPCOA,2069,9122.4036
RE1,IMPCOA,2070,4792.6563
RE1,MINCOA,2015,1201.8754
RE1,MINCOA,2016,1120.3443
RE1,MINCOA,2017,1132.6138
RE1,MINCOA,2018,1153.041
RE1,MINCOA,2019,1262.8932
RE1,MINCOA,2020,2935.6728
RE1,MINCOA,2021,3016.1627
RE1,MINCOA,2022,3114.3237
RE1,MINCOA,2023,3212.4117
RE1,MINCOA,2024,3625.9146
RE1,MINCOA,2025,3449.43
RE1,MINCOA,2026,3462.0858
RE1,MINCOA,2027,2469.7598
RE1,IMPLFO,2015,5550.7897
RE1,IMPLFO,2016,5742.9384
RE1,IMPLFO,2017,5873.1206
RE1,IMPLFO,2018,6018.0952
RE1,IMPLFO,2019,6157.2479
RE1,IMPLFO,2020,6296.3538
RE1,IMPLFO,2021,6407.281
RE1,IMPLFO,2022,6518.1763
RE1,IMPLFO,2023,6629.0416
RE1,IMPLFO,2024,3145.097
RE1,IMPLFO,2025,5155.3181
RE1,IMPLFO,2026,5247.4691
RE1,IMPLFO,2027,5339.6049
RE1,IMPLFO,2028,5431.7261
RE1,IMPLFO,2029,5523.8336
RE1,IMPLFO,2030,5615.9282
RE1,IMPLFO,2031,5692.1347
RE1,IMPLFO,2032,5768.3203
RE1,IMPLFO,2033,5844.4861
RE1,IMPLFO,2034,5920.6331
RE1,IMPLFO,2035,5996.7624
RE1,IMPLFO,2036,6066.1645
RE1,IMPLFO,2037,6135.5564
RE1,IMPLFO,2038,6204.9387
RE1,IMPLFO,2039,6274.3116
RE1,IMPLFO,2040,6343.6755
RE1,IMPLFO,2041,6409.6778
RE1,IMPLFO,2042,6475.6735
RE1,IMPLFO,2043,6541.6628
RE1,IMPLFO,2044,6607.6459
RE1,IMPLFO,2045,6673.623
RE1,IMPLFO,2046,6725.2117
RE1,IMPLFO,2047,6776.7977
RE1,IMPLFO,2048,6828.3811
RE1,IMPLFO,2049,6879.962
RE1,UPSREF001,2015,2876.6643
RE1,UPSREF001,2016,2876.6643
RE1,UPSREF001,2017,2876.6643
RE1,UPSREF001,2018,2876.6643
RE1,UPSREF001,2019,2876.6643
RE1,UPSREF001,2020,2876.6643
RE1,UPSREF001,2021,2876.6643
RE1,UPSREF001,2022,2876.6643
RE1,UPSREF001,2023,2876.6643
RE1,UPSREF001,2024,2876.6643
RE1,UPSREF001,2025,2876.6643
RE1,UPSREF001,2026,2876.6643
RE1,UPSREF001,2027,2876.6643
RE1,UPSREF001,2028,2876.6643
