r,t,y,TotalTechnologyAnnualActivity
RE1,MINSOL,2017,16.2722
RE1,MINSOL,2018,17.8654
RE1,MINSOL,2019,17.9916
RE1,MINSOL,2020,17.9916
RE1,MINSOL,2021,18.4546
RE1,MINSOL,2022,18.4546
RE1,MINSOL,2023,18.4546
RE1,MINSOL,2024,18.4546
RE1,MINSOL,2025,18.4546
RE1,MINSOL,2026,18.4546
RE1,MINSOL,2027,18.4546
RE1,MINSOL,2028,18.4546
RE1,MINSOL,2029,18.4546
RE1,MINSOL,2030,18.4546
RE1,MINSOL,2031,18.4546
RE1,MINSOL,2032,18.4546
RE1,MINSOL,2033,18.4546
RE1,MINSOL,2034,18.4546
RE1,MINSOL,2035,9.9504
RE1,MINSOL,2036,3.7189
RE1,MINSOL,2037,2.2098
RE1,MINSOL,2038,0.6166
RE1,MINSOL,2039,0.4904
RE1,MINSOL,2040,0.4904
RE1,MINSOL,2041,0.0274
RE1,MINSOL,2042,0.0274
RE1,MINSOL,2043,0.0274
RE1,MINWND,2015,1.1746
RE1,MINWND,2016,2.545
RE1,MINWND,2017,3.1524
RE1,MINWND,2018,5.5368
RE1,MINWND,2019,7.5648
RE1,MINWND,2020,7.5648
RE1,MINWND,2021,7.7555
RE1,MINWND,2022,7.7555
RE1,MINWND,2023,7.7555
RE1,MINWND,2024,7.7555
RE1,MINWND,2025,7.7555
RE1,MINWND,2026,7.7555
RE1,MINWND,2027,7.7555
RE1,MINWND,2028,7.7555
RE1,MINWND,2029,7.7555
RE1,MINWND,2030,7.7555
RE1,MINWND,2031,7.7555
RE1,MINWND,2032,7.7555
RE1,MINWND,2033,7.7555
RE1,MINWND,2034,7.7555
RE1,MINWND,2035,7.7555
RE1,MINWND,2036,6.3851
RE1,MINWND,2037,6.3851
RE1,MINWND,2038,6.3851
RE1,MINWND,2039,6.3851
RE1,MINWND,2040,6.3851
RE1,MINWND,2041,6.3851
RE1,MINWND,2042,6.3851
RE1,MINWND,2043,6.3851
RE1,MINWND,2044,6.3851
RE1,MINWND,2045,6.3851
RE1,MINWND,2046,6.3851
RE1,MINWND,2047,2.545
RE1,MINWND,2048,2.0079
RE1,MINWND,2049,2.0079
RE1,MINURN,2070,70.9774
RE1,MINHYD,2015,29.4911
RE1,MINHYD,2016,29.4911
RE1,MINHYD,2017,29.4911
RE1,MINHYD,2018,29.4911
RE1,MINHYD,2019,29.4911
RE1,MINHYD,2020,29.4911
RE1,MINHYD,2021,29.4911
RE1,MINHYD,2022,29.4911
RE1,MINHYD,2023,29.4911
RE1,MINHYD,2024,29.4911
RE1,MINHYD,2025,29.4911
RE1,MINHYD,2026,29.4911
RE1,MINHYD,2027,29.4911
RE1,MINHYD,2028,29.4911
RE1,MINHYD,2029,29.4911
RE1,MINHYD,2030,29.4911
RE1,MINHYD,2031,29.4911
RE1,MINHYD,2032,29.4911
RE1,MINHYD,2033,29.4911
RE1,MINHYD,2034,29.4911
RE1,MINHYD,2035,29.4911
RE1,MINHYD,2036,29.4911
RE1,MINHYD,2037,29.4911
RE1,MINHYD,2038,29.4911
RE1,MINHYD,2039,29.4911
RE1,MINHYD,2040,29.4911
RE1,MINHYD,2041,29.4911
RE1,MINHYD,2042,29.4911
RE1,MINHYD,2043,29.4911
RE1,MINHYD,2044,29.4911
RE1,MINHYD,2045,29.4911
RE1,MINHYD,2046,29.4911
RE1,MINHYD,2047,29.4911
RE1,MINHYD,2048,29.4911
RE1,MINHYD,2049,29.4911
RE1,MINHYD,2050,29.4911
RE1,PWRBIO001,2015,65.3647
RE1,PWRBIO001,2016,74.7151
RE1,PWRBIO001,2017,84.0435
RE1,PWRBIO001,2018,88.6748
RE1,PWRBIO001,2019,88.6748
RE1,PWRBIO001,2020,93.3938
RE1,PWRBIO001,2021,98.069
RE1,PWRBIO001,2022,98.069
RE1,PWRBIO001,2023,98.069
RE1,PWRBIO001,2024,98.069
RE1,PWRBIO001,2025,98.069
RE1,PWRBIO001,2026,98.069
RE1,PWRBIO001,2027,98.069
RE1,PWRBIO001,2028,98.069
RE1,PWRBIO001,2029,98.069
RE1,PWRBIO001,2030,98.069
RE1,PWRBIO001,2031,32.7043
RE1,PWRBIO001,2032,32.7043
RE1,PWRBIO001,2033,32.7043
RE1,PWRBIO001,2034,32.7043
RE1,PWRBIO001,2035,32.7043
RE1,PWRBIO001,2036,32.7043
RE1,PWRBIO001,2037,32.7043
