r,t,y,AnnualFixedOperatingCost
RE1,PWRBIO001,2070,369.0703
RE1,PWRCOA001,2015,195.1023
RE1,PWRCOA001,2016,195.1023
RE1,PWRCOA001,2017,195.1023
RE1,PWRCOA001,2018,195.1023
RE1,PWRCOA001,2019,195.1023
RE1,PWRCOA001,2020,195.1023
RE1,PWRCOA001,2021,195.1023
RE1,PWRCOA001,2022,195.1023
RE1,PWRCOA001,2023,195.1023
RE1,PWRCOA001,2024,195.1023
RE1,PWRCOA001,2025,195.1023
RE1,PWRCOA001,2026,227.3507
RE1,PWRCOA001,2027,227.3507
RE1,PWRCOA001,2028,227.3507
RE1,PWRCOA001,2029,227.3507
RE1,PWRCOA001,2030,227.3507
RE1,PWRCOA001,2031,227.3507
RE1,PWRCOA001,2032,227.3507
RE1,PWRCOA001,2033,227.3507
RE1,PWRCOA001,2034,227.3507
RE1,PWRCOA001,2035,227.3507
RE1,PWRCOA001,2036,109.1068
RE1,PWRCOA001,2037,109.1068
RE1,PWRCOA001,2038,109.1068
RE1,PWRCOA001,2039,109.1068
RE1,PWRCOA001,2040,109.1068
RE1,PWRCOA001,2041,109.1068
RE1,PWRCOA001,2042,32.2483
RE1,PWRCOA001,2043,32.2483
RE1,PWRCOA001,2044,32.2483
RE1,PWRCOA001,2045,32.2483
RE1,PWRCOA001,2046,32.2483
RE1,PWRCOA001,2047,32.2483
RE1,PWRCOA001,2048,32.2483
RE1,PWRCOA001,2049,32.2483
RE1,PWRCOA001,2050,32.2483
RE1,PWRCOA001,2051,32.2483
RE1,PWRCOA001,2052,32.2483
RE1,PWRCOA001,2053,32.2483
RE1,PWRCOA001,2054,32.2483
RE1,PWRCOA001,2055,32.2483
RE1,PWRCOA001,2056,32.2483
RE1,PWRCOA001,2057,32.2483
RE1,PWRCOA001,2058,32.2483
RE1,PWRCOA001,2059,32.2483
RE1,PWRCOA001,2060,32.2483
RE1,PWRGEO,2025,0.6822
RE1,PWRGEO,2026,0.6822
RE1,PWRGEO,2027,0.6822
RE1,PWRGEO,2028,0.6822
RE1,PWRGEO,2029,0.6822
RE1,PWRGEO,2030,0.6822
RE1,PWRGEO,2031,0.6822
RE1,PWRGEO,2032,0.6822
RE1,PWRGEO,2033,0.6822
RE1,PWRGEO,2034,0.6822
RE1,PWRGEO,2035,0.6822
RE1,PWRGEO,2036,0.6822
RE1,PWRGEO,2037,0.6822
RE1,PWRGEO,2038,0.6822
RE1,PWRGEO,2039,0.6822
RE1,PWRGEO,2040,0.6822
RE1,PWRGEO,2041,0.6822
RE1,PWRGEO,2042,0.6822
RE1,PWRGEO,2043,0.6822
RE1,PWRGEO,2044,0.6822
