r,l,t,f,y,ProductionByTechnology
RE1,S412,PWRCSP002,ELC001,2030,0.0005
RE1,S412,PWRHYD001,ELC001,2030,0.3933
RE1,S412,PWRHYD002,ELC001,2030,0.016
RE1,S412,PWRWND001,ELC001,2030,0.056
RE1,S412,PWRTRNIMP,ELC001,2030,0.9038
RE1,S412,PWRTRN,ELC002,2030,11.5473
RE1,S412,PWRDIST,ELC003,2030,11.5473
RE1,S412,DEMTRAMCYGSL,TRAMCY,2030,3.2231
RE1,S412,DEMTRACARGSL,TRACAR,2030,6.9297
RE1,S412,DEMTRABUSGSL,TRABUS,2030,5.9627
RE1,S412,DEMINDELC,INDELC,2030,5.715
RE1,S412,DEMINDHEBIO,INDHEL,2030,5.0346
RE1,S412,DEMRESELC,RESELC,2030,2.853
RE1,S412,DEMRESCKNELC,RESCKN,2030,0.0292
RE1,S412,DEMRESCKNOIL,RESCKN,2030,1.5817
RE1,S412,DEMRESCKNBIO,RESCKN,2030,0.942
RE1,S412,DEMRESHEBIO,RESHEL,2030,1.0941
RE1,S412,DEMCOMELC,COMELC,2030,2.9487
RE1,S412,DEMCOMHEBIO,COMHEL,2030,0.532
RE1,S412,DEMINDHECOA,INDHEH,2030,7.5519
RE1,S413,MINBIO,BIO,2030,13.9465
RE1,S413,IMPCOA,COA,2030,41.0293
RE1,S413,IMPLFO,LFO,2030,77.7781
RE1,S413,MINSOL,SOL,2030,0.3678
RE1,S413,MINWND,WND,2030,0.056
RE1,S413,MINHYD,HYD,2030,0.4093
RE1,S413,PWRBIO001,ELC001,2030,1.0216
RE1,S413,PWRCOA001,ELC001,2030,9.5213
RE1,S413,PWRSOL001,ELC001,2030,0.3673
RE1,S413,PWRCSP002,ELC001,2030,0.0005
RE1,S413,PWRHYD001,ELC001,2030,0.3933
RE1,S413,PWRHYD002,ELC001,2030,0.016
RE1,S413,PWRWND001,ELC001,2030,0.056
RE1,S413,PWRTRNIMP,ELC001,2030,0.9038
RE1,S413,PWRTRN,ELC002,2030,11.5473
RE1,S413,PWRDIST,ELC003,2030,11.5473
RE1,S413,DEMTRAMCYGSL,TRAMCY,2030,3.2231
RE1,S413,DEMTRACARGSL,TRACAR,2030,6.9297
RE1,S413,DEMTRABUSGSL,TRABUS,2030,5.9627
RE1,S413,DEMINDELC,INDELC,2030,5.715
RE1,S413,DEMINDHEBIO,INDHEL,2030,5.0346
