r,t,e,y,AnnualTechnologyEmission
RE1,IMPCOA,EMIC02,2064,697345.67
RE1,IMPCOA,EMIC02,2065,705018.54
RE1,IMPCOA,EMIC02,2066,712774.0
RE1,IMPCOA,EMIC02,2067,720612.96
RE1,IMPCOA,EMIC02,2068,728536.32
RE1,IMPCOA,EMIC02,2069,736545.01
RE1,IMPCOA,EMIC02,2070,744639.94
RE1,MINCOA,EMIC02,2015,113697.42
RE1,MINCOA,EMIC02,2016,105984.58
RE1,MINCOA,EMIC02,2017,107145.27
RE1,MINCOA,EMIC02,2018,109077.68
RE1,MINCOA,EMIC02,2019,119469.7
RE1,MINCOA,EMIC02,2020,277714.66
RE1,MINCOA,EMIC02,2021,285329.0
RE1,MINCOA,EMIC02,2022,294615.03
RE1,MINCOA,EMIC02,2023,303894.16
RE1,MINCOA,EMIC02,2024,313166.48
RE1,MINCOA,EMIC02,2025,322432.09
RE1,MINCOA,EMIC02,2026,332482.38
RE1,MINCOA,EMIC02,2027,262399.28
RE1,IMPLFO,EMIC02,2015,384669.74
RE1,IMPLFO,EMIC02,2016,397985.64
RE1,IMPLFO,EMIC02,2017,407007.27
RE1,IMPLFO,EMIC02,2018,417054.01
RE1,IMPLFO,EMIC02,2019,426697.3
RE1,IMPLFO,EMIC02,2020,436337.33
RE1,IMPLFO,EMIC02,2021,444024.59
RE1,IMPLFO,EMIC02,2022,451709.63
RE1,IMPLFO,EMIC02,2023,459392.59
RE1,IMPLFO,EMIC02,2024,333498.9
RE1,IMPLFO,EMIC02,2025,474752.78
RE1,IMPLFO,EMIC02,2026,483294.6
RE1,IMPLFO,EMIC02,2027,491834.36
RE1,IMPLFO,EMIC02,2028,500372.18
RE1,IMPLFO,EMIC02,2029,508908.17
RE1,IMPLFO,EMIC02,2030,517442.43
RE1,IMPLFO,EMIC02,2031,524543.25
RE1,IMPLFO,EMIC02,2032,531641.26
RE1,IMPLFO,EMIC02,2033,538736.62
RE1,IMPLFO,EMIC02,2034,545829.47
RE1,IMPLFO,EMIC02,2035,552919.94
RE1,IMPLFO,EMIC02,2036,559375.21
RE1,IMPLFO,EMIC02,2037,565829.13
RE1,IMPLFO,EMIC02,2038,572281.74
RE1,IMPLFO,EMIC02,2039,578684.56
RE1,IMPLFO,EMIC02,2040,585086.17
RE1,IMPLFO,EMIC02,2041,591190.23
RE1,IMPLFO,EMIC02,2042,597293.39
RE1,IMPLFO,EMIC02,2043,603395.7
RE1,IMPLFO,EMIC02,2044,609497.17
RE1,IMPLFO,EMIC02,2045,615597.85
RE1,IMPLFO,EMIC02,2046,620361.59
RE1,IMPLFO,EMIC02,2047,625124.97
RE1,IMPLFO,EMIC02,2048,629888.0
RE1,IMPLFO,EMIC02,2049,634650.7
RE1,IMPLFO,EMIC02,2050,639413.06
RE1,IMPLFO,EMIC02,2051,644287.22
RE1,IMPLFO,EMIC02,2052,649199.08
RE1,IMPLFO,EMIC02,2053,654148.95
RE1,IMPLFO,EMIC02,2054,659137.13
RE1,IMPLFO,EMIC02,2055,664163.9
RE1,IMPLFO,EMIC02,2056,669229.58
RE1,IMPLFO,EMIC02,2057,674334.47
