r,t,y,TotalTechnologyAnnualActivity
RE1,MINCOA,2018,1505.593
RE1,MINCOA,2019,1522.2299
RE1,MINCOA,2020,1538.8414
RE1,MINCOA,2021,1550.3677
RE1,MINCOA,2022,1588.5705
RE1,MINCOA,2023,2168.4131
RE1,MINCOA,2024,2995.4551
RE1,MINCOA,2025,2961.8663
RE1,MINCOA,2026,2928.3835
RE1,MINCOA,2027,2887.7589
RE1,MINCOA,2028,2508.6275
RE1,IMPLFO,2015,5550.8604
RE1,IMPLFO,2016,5742.9386
RE1,IMPLFO,2017,5873.1208
RE1,IMPLFO,2018,6018.0954
RE1,IMPLFO,2019,6157.2481
RE1,IMPLFO,2020,4368.869
RE1,IMPLFO,2021,6071.1994
RE1,IMPLFO,2022,5960.8879
RE1,IMPLFO,2023,5966.1376
RE1,IMPLFO,2024,5841.2284
RE1,IMPLFO,2025,5693.9723
RE1,IMPLFO,2026,5579.1584
RE1,IMPLFO,2027,5441.169
RE1,IMPLFO,2028,5294.9437
RE1,IMPLFO,2029,5140.4866
RE1,IMPLFO,2030,4977.8011
RE1,IMPLFO,2031,4793.8055
RE1,IMPLFO,2032,4602.9547
RE1,IMPLFO,2033,4405.2537
RE1,IMPLFO,2034,4200.7078
RE1,IMPLFO,2035,3989.3214
RE1,IMPLFO,2036,3766.8365
RE1,IMPLFO,2037,3538.1331
RE1,IMPLFO,2038,3303.2135
RE1,IMPLFO,2039,3061.8231
RE1,IMPLFO,2040,2814.2673
RE1,IMPLFO,2041,2559.2651
RE1,IMPLFO,2042,2298.3873
RE1,IMPLFO,2043,2031.6353
RE1,IMPLFO,2044,1759.0106
RE1,IMPLFO,2045,1480.5143
RE1,IMPLFO,2046,1193.5769
RE1,IMPLFO,2047,902.0562
RE1,IMPLFO,2048,605.9529
RE1,IMPLFO,2049,305.2673
RE1,UPSREF001,2020,2141.65
RE1,MINNGS,2015,784.8541
RE1,MINNGS,2016,817.8251
RE1,MINNGS,2017,846.9226
RE1,MINNGS,2018,705.1737
RE1,MINNGS,2019,767.0327
RE1,MINNGS,2020,828.8511
RE1,MINNGS,2021,818.6919
RE1,MINNGS,2022,790.4611
RE1,MINNGS,2023,464.2065
RE1,MINSOL,2015,8.5316
RE1,MINSOL,2016,8.5316
RE1,MINSOL,2017,8.5316
RE1,MINSOL,2018,8.5316
RE1,MINSOL,2019,8.5316
RE1,MINSOL,2020,8.5316
RE1,MINSOL,2021,80.1294
RE1,MINSOL,2022,172.6744
RE1,MINSOL,2023,206.4313
RE1,MINSOL,2024,221.9387
RE1,MINSOL,2025,240.5783
RE1,MINSOL,2026,307.4709
RE1,MINSOL,2027,341.5251
RE1,MINSOL,2028,369.0968
RE1,MINSOL,2029,385.8803
RE1,MINSOL,2030,516.8297
RE1,MINSOL,2031,537.9469
RE1,MINSOL,2032,637.6614
RE1,MINSOL,2033,679.4326
RE1,MINSOL,2034,724.6965
RE1,MINSOL,2035,778.885
RE1,MINSOL,2036,832.6753
RE1,MINSOL,2037,881.5856
RE1,MINSOL,2038,947.6005
RE1,MINSOL,2039,1023.0993
RE1,MINSOL,2040,1071.244
RE1,MINSOL,2041,1111.0995
RE1,MINSOL,2042,1149.3161
RE1,MINSOL,2043,1184.4334
RE1,MINSOL,2044,1206.4456
RE1,MINSOL,2045,1429.4209
RE1,MINSOL,2046,1448.4382
