r,t,y,CapitalInvestment
RE1,IMPLFO,2025,0.5155
RE1,IMPLFO,2026,0.5247
RE1,IMPLFO,2027,0.534
RE1,IMPLFO,2028,0.5432
RE1,IMPLFO,2029,0.5524
RE1,IMPLFO,2030,0.5616
RE1,IMPLFO,2031,0.5692
RE1,IMPLFO,2032,0.5768
RE1,IMPLFO,2033,0.5844
RE1,IMPLFO,2034,0.5921
RE1,IMPLFO,2035,0.5997
RE1,IMPLFO,2036,0.6066
RE1,IMPLFO,2037,0.6136
RE1,IMPLFO,2038,0.6205
RE1,IMPLFO,2039,0.6274
RE1,IMPLFO,2040,0.6344
RE1,IMPLFO,2041,0.641
RE1,IMPLFO,2042,0.6476
RE1,IMPLFO,2043,0.6542
RE1,IMPLFO,2044,0.6608
RE1,IMPLFO,2045,0.6674
RE1,IMPLFO,2046,0.6725
RE1,IMPLFO,2047,0.6777
RE1,IMPLFO,2048,0.6828
RE1,IMPLFO,2049,0.688
RE1,MINNGS,2015,0.0795
RE1,MINNGS,2016,0.0797
RE1,MINNGS,2017,0.0807
RE1,MINNGS,2018,0.084
RE1,MINNGS,2019,0.0847
RE1,MINNGS,2024,0.0012
RE1,MINNGS,2025,0.0011
RE1,MINNGS,2026,0.0066
RE1,MINNGS,2027,0.0118
RE1,MINNGS,2028,0.0169
RE1,MINNGS,2029,0.0251
RE1,MINNGS,2030,0.0142
RE1,MINNGS,2031,0.0261
RE1,MINNGS,2032,0.0261
RE1,MINNGS,2033,0.0235
RE1,MINNGS,2034,0.0224
RE1,MINNGS,2035,0.0224
RE1,MINNGS,2036,0.0224
RE1,MINNGS,2037,0.0224
RE1,MINNGS,2038,0.0135
RE1,MINNGS,2039,0.0135
RE1,MINNGS,2040,0.0113
RE1,MINNGS,2041,0.01
RE1,MINNGS,2042,0.01
RE1,MINNGS,2043,0.01
RE1,MINNGS,2044,0.005
RE1,MINSOL,2015,0.0019
RE1,MINSOL,2016,0.0033
RE1,MINSOL,2017,0.0037
RE1,MINSOL,2018,0.004
RE1,MINSOL,2019,0.0041
RE1,MINSOL,2020,0.0041
RE1,MINSOL,2021,0.0042
RE1,MINSOL,2022,0.0042
