r,t,e,y,AnnualTechnologyEmission
RE1,IMPCOA,EMIC02,2068,452120.96
RE1,IMPCOA,EMIC02,2069,456304.56
RE1,IMPCOA,EMIC02,2070,350207.24
RE1,MINCOA,EMIC02,2015,113697.42
RE1,MINCOA,EMIC02,2016,105984.58
RE1,MINCOA,EMIC02,2017,107145.27
RE1,MINCOA,EMIC02,2018,109077.68
RE1,MINCOA,EMIC02,2019,119469.7
RE1,MINCOA,EMIC02,2020,277714.66
RE1,MINCOA,EMIC02,2021,285329.0
RE1,MINCOA,EMIC02,2022,294615.03
RE1,MINCOA,EMIC02,2023,303894.16
RE1,MINCOA,EMIC02,2024,404036.03
RE1,MINCOA,EMIC02,2025,387340.59
RE1,MINCOA,EMIC02,2026,388537.83
RE1,MINCOA,EMIC02,2027,50565.789
RE1,IMPLFO,EMIC02,2015,384669.74
RE1,IMPLFO,EMIC02,2016,397985.64
RE1,IMPLFO,EMIC02,2017,407007.27
RE1,IMPLFO,EMIC02,2018,417054.01
RE1,IMPLFO,EMIC02,2019,426697.3
RE1,IMPLFO,EMIC02,2020,436337.33
RE1,IMPLFO,EMIC02,2021,444024.59
RE1,IMPLFO,EMIC02,2022,451709.63
RE1,IMPLFO,EMIC02,2023,459392.59
RE1,IMPLFO,EMIC02,2024,217955.23
RE1,IMPLFO,EMIC02,2025,357263.55
RE1,IMPLFO,EMIC02,2026,363649.62
RE1,IMPLFO,EMIC02,2027,370034.63
RE1,IMPLFO,EMIC02,2028,376418.63
RE1,IMPLFO,EMIC02,2029,382801.68
RE1,IMPLFO,EMIC02,2030,389183.84
RE1,IMPLFO,EMIC02,2031,394464.95
RE1,IMPLFO,EMIC02,2032,399744.61
RE1,IMPLFO,EMIC02,2033,405022.9
RE1,IMPLFO,EMIC02,2034,410299.89
RE1,IMPLFO,EMIC02,2035,415575.65
RE1,IMPLFO,EMIC02,2036,420385.21
RE1,IMPLFO,EMIC02,2037,425194.08
RE1,IMPLFO,EMIC02,2038,430002.27
RE1,IMPLFO,EMIC02,2039,434809.81
RE1,IMPLFO,EMIC02,2040,439616.72
RE1,IMPLFO,EMIC02,2041,444190.69
RE1,IMPLFO,EMIC02,2042,448764.19
RE1,IMPLFO,EMIC02,2043,453337.25
