r,t,e,y,AnnualTechnologyEmission
RE1,IMPCOA,EMIC02,2033,250825.22
RE1,IMPCOA,EMIC02,2034,243456.5
RE1,IMPCOA,EMIC02,2035,233820.9
RE1,IMPCOA,EMIC02,2036,222436.3
RE1,IMPCOA,EMIC02,2037,210448.48
RE1,IMPCOA,EMIC02,2038,197858.11
RE1,IMPCOA,EMIC02,2039,184710.68
RE1,IMPCOA,EMIC02,2040,170953.77
RE1,IMPCOA,EMIC02,2041,156548.2
RE1,IMPCOA,EMIC02,2042,141543.34
RE1,IMPCOA,EMIC02,2043,125939.77
RE1,IMPCOA,EMIC02,2044,109739.82
RE1,IMPCOA,EMIC02,2045,92940.309
RE1,IMPCOA,EMIC02,2046,75184.859
RE1,IMPCOA,EMIC02,2047,57012.719
RE1,IMPCOA,EMIC02,2048,38424.274
RE1,IMPCOA,EMIC02,2049,19419.907
RE1,MINCOA,EMIC02,2015,113697.42
RE1,MINCOA,EMIC02,2016,105984.58
RE1,MINCOA,EMIC02,2017,107364.64
RE1,MINCOA,EMIC02,2018,142429.1
RE1,MINCOA,EMIC02,2019,144002.95
RE1,MINCOA,EMIC02,2020,145574.39
RE1,MINCOA,EMIC02,2021,146664.79
RE1,MINCOA,EMIC02,2022,150278.77
RE1,MINCOA,EMIC02,2023,205131.88
RE1,MINCOA,EMIC02,2024,283370.06
RE1,MINCOA,EMIC02,2025,280192.55
RE1,MINCOA,EMIC02,2026,277025.08
RE1,MINCOA,EMIC02,2027,273182.0
RE1,MINCOA,EMIC02,2028,237316.16
RE1,IMPLFO,EMIC02,2015,384674.63
RE1,IMPLFO,EMIC02,2016,397985.64
RE1,IMPLFO,EMIC02,2017,407007.27
RE1,IMPLFO,EMIC02,2018,417054.01
RE1,IMPLFO,EMIC02,2019,426697.3
RE1,IMPLFO,EMIC02,2020,302762.62
RE1,IMPLFO,EMIC02,2021,420734.12
RE1,IMPLFO,EMIC02,2022,413089.53
RE1,IMPLFO,EMIC02,2023,413453.34
RE1,IMPLFO,EMIC02,2024,404797.13
RE1,IMPLFO,EMIC02,2025,394592.28
RE1,IMPLFO,EMIC02,2026,386635.68
RE1,IMPLFO,EMIC02,2027,377073.01
RE1,IMPLFO,EMIC02,2028,366939.6
RE1,IMPLFO,EMIC02,2029,356235.72
RE1,IMPLFO,EMIC02,2030,344961.62
RE1,IMPLFO,EMIC02,2031,332210.72
RE1,IMPLFO,EMIC02,2032,318984.76
RE1,IMPLFO,EMIC02,2033,305284.08
RE1,IMPLFO,EMIC02,2034,291109.05
RE1,IMPLFO,EMIC02,2035,276459.97
RE1,IMPLFO,EMIC02,2036,261041.77
RE1,IMPLFO,EMIC02,2037,245192.62
RE1,IMPLFO,EMIC02,2038,228912.7
RE1,IMPLFO,EMIC02,2039,212184.34
RE1,IMPLFO,EMIC02,2040,195028.72
RE1,IMPLFO,EMIC02,2041,177357.07
RE1,IMPLFO,EMIC02,2042,159278.24
RE1,IMPLFO,EMIC02,2043,140792.33
RE1,IMPLFO,EMIC02,2044,121899.43
RE1,IMPLFO,EMIC02,2045,102599.64
RE1,IMPLFO,EMIC02,2046,82714.879
RE1,IMPLFO,EMIC02,2047,62512.497
RE1,IMPLFO,EMIC02,2048,41992.534
RE1,IMPLFO,EMIC02,2049,21155.023
RE1,MINNGS,EMIC02,2015,44030.313
RE1,MINNGS,EMIC02,2016,45879.987
RE1,MINNGS,EMIC02,2017,47512.36
RE1,MINNGS,EMIC02,2018,39560.245
RE1,MINNGS,EMIC02,2019,43030.532
RE1,MINNGS,EMIC02,2020,46498.544
RE1,MINNGS,EMIC02,2021,45928.615
RE1,MINNGS,EMIC02,2022,44344.869
RE1,MINNGS,EMIC02,2023,26041.985
