r,l,t,f,y,ProductionByTechnology
RE1,S109,PWRWND001,ELC001,2020,0.0111
RE1,S109,PWRTRNIMP,ELC001,2020,0.9345
RE1,S109,PWRTRN,ELC002,2020,8.5441
RE1,S109,PWRDIST,ELC003,2020,8.5441
RE1,S109,DEMTRAMCYGSL,TRAMCY,2020,2.7212
RE1,S109,DEMTRACARGSL,TRACAR,2020,5.2109
RE1,S109,DEMTRABUSGSL,TRABUS,2020,5.3835
RE1,S109,DEMINDELC,INDELC,2020,4.2057
RE1,S109,DEMINDHEBIO,INDHEL,2020,4.4439
RE1,S109,DEMRESELC,RESELC,2020,2.0995
RE1,S109,DEMRESCKNELC,RESCKN,2020,0.0657
RE1,S109,DEMRESCKNOIL,RESCKN,2020,2.1962
RE1,S109,DEMRESCKNBIO,RESCKN,2020,0.7637
RE1,S109,DEMRESHEBIO,RESHEL,2020,0.9243
RE1,S109,DEMCOMELC,COMELC,2020,2.1699
RE1,S109,DEMCOMHEBIO,COMHEL,2020,0.4466
RE1,S109,DEMINDHECOA,INDHEH,2020,6.5344
RE1,S110,MINOIL,OIL,2020,22.3089
RE1,S110,MINBIO,BIO,2020,11.5768
RE1,S110,MINCOA,COA,2020,16.0296
RE1,S110,IMPLFO,LFO,2020,45.5091
RE1,S110,UPSREF001,LFO,2020,20.078
RE1,S110,UPSREF001,HFO,2020,2.2309
RE1,S110,MINNGS,NGS,2020,8.6339
RE1,S110,MINSOL,SOL,2020,0.2003
RE1,S110,MINWND,WND,2020,0.0111
RE1,S110,MINHYD,HYD,2020,0.0818
RE1,S110,PWRBIO001,ELC001,2020,0.7386
RE1,S110,PWRCOA001,ELC001,2020,2.3911
RE1,S110,PWRNGS001,ELC001,2020,4.7701
RE1,S110,PWRSOL001,ELC001,2020,0.1998
RE1,S110,PWRCSP002,ELC001,2020,0.0005
RE1,S110,PWRHYD001,ELC001,2020,0.0786
RE1,S110,PWRHYD002,ELC001,2020,0.0032
RE1,S110,PWRWND001,ELC001,2020,0.0111
RE1,S110,PWRTRNIMP,ELC001,2020,0.9345
RE1,S110,PWRTRN,ELC002,2020,8.5441
RE1,S110,PWRDIST,ELC003,2020,8.5441
RE1,S110,DEMTRAMCYGSL,TRAMCY,2020,2.7212
RE1,S110,DEMTRACARGSL,TRACAR,2020,5.2109
RE1,S110,DEMTRABUSGSL,TRABUS,2020,5.3835
RE1,S110,DEMINDELC,INDELC,2020,4.2057
RE1,S110,DEMINDHEBIO,INDHEL,2020,4.4439
RE1,S110,DEMRESELC,RESELC,2020,2.0995
RE1,S110,DEMRESCKNELC,RESCKN,2020,0.0657
RE1,S110,DEMRESCKNOIL,RESCKN,2020,2.1962
RE1,S110,DEMRESCKNBIO,RESCKN,2020,0.7637
RE1,S110,DEMRESHEBIO,RESHEL,2020,0.9243
RE1,S110,DEMCOMELC,COMELC,2020,2.1699
RE1,S110,DEMCOMHEBIO,COMHEL,2020,0.4466
RE1,S110,DEMINDHECOA,INDHEH,2020,6.5344
RE1,S111,MINOIL,OIL,2020,22.3089
RE1,S111,MINBIO,BIO,2020,11.5768
RE1,S111,MINCOA,COA,2020,16.0296
RE1,S111,IMPLFO,LFO,2020,45.5091
RE1,S111,UPSREF001,LFO,2020,20.078
RE1,S111,UPSREF001,HFO,2020,2.2309
RE1,S111,MINNGS,NGS,2020,8.6339
RE1,S111,MINSOL,SOL,2020,0.2003
RE1,S111,MINWND,WND,2020,0.0111
RE1,S111,MINHYD,HYD,2020,0.0818
RE1,S111,PWRBIO001,ELC001,2020,0.7386
RE1,S111,PWRCOA001,ELC001,2020,2.3911
RE1,S111,PWRNGS001,ELC001,2020,4.7701
RE1,S111,PWRSOL001,ELC001,2020,0.1998
RE1,S111,PWRCSP002,ELC001,2020,0.0005
