r,t,y,NewCapacity
RE1,MINHYD,2035,71.6301
RE1,MINHYD,2036,71.6301
RE1,MINHYD,2037,71.6301
RE1,MINHYD,2038,71.6301
RE1,MINHYD,2039,71.6301
RE1,MINHYD,2040,71.6301
RE1,MINHYD,2041,71.6301
RE1,MINHYD,2042,71.6301
RE1,MINHYD,2043,71.6301
RE1,MINHYD,2044,71.6301
RE1,MINHYD,2045,71.6301
RE1,MINHYD,2046,71.6301
RE1,MINHYD,2047,71.6301
RE1,MINHYD,2048,71.6301
RE1,MINHYD,2049,71.6301
RE1,MINHYD,2050,71.6301
RE1,MINHYD,2051,19.8821
RE1,MINHYD,2052,19.8821
RE1,MINHYD,2053,19.8821
RE1,MINHYD,2054,19.8821
RE1,MINHYD,2055,19.8821
RE1,MINHYD,2056,19.8821
RE1,MINHYD,2057,19.8821
RE1,MINHYD,2058,19.8821
RE1,MINHYD,2059,19.8821
RE1,MINHYD,2060,19.8821
RE1,MINHYD,2061,19.8821
RE1,MINHYD,2062,19.8821
RE1,MINHYD,2063,19.8821
RE1,MINHYD,2064,71.6301
RE1,MINHYD,2065,71.6301
RE1,MINHYD,2066,71.6301
RE1,MINHYD,2067,71.6301
RE1,MINHYD,2068,71.6301
RE1,MINHYD,2069,71.6301
RE1,MINHYD,2070,22.5956
RE1,PWRBIO001,2032,1.3492
RE1,PWRCOA001,2019,21.0871
RE1,PWRCOA001,2020,1.2516
RE1,PWRCOA001,2021,0.8806
RE1,PWRCOA001,2022,1.1065
RE1,PWRCOA001,2023,1.1058
RE1,PWRCOA001,2024,1.1051
RE1,PWRCOA001,2025,4.5278
RE1,PWRCOA001,2026,1.1783
RE1,PWRCOA001,2027,1.1775
RE1,PWRCOA001,2028,3.1044
RE1,PWRCOA001,2032,1.1966
RE1,PWRGEO,2025,0.0066
RE1,PWRSOL001,2025,90.575
RE1,PWRSOL001,2026,9.7954
RE1,PWRSOL001,2027,10.2056
RE1,PWRSOL001,2028,18.2108
RE1,PWRSOL001,2029,25.0048
RE1,PWRSOL001,2030,34.1183
RE1,PWRSOL001,2031,24.6357
RE1,PWRSOL001,2033,10.6946
RE1,PWRSOL001,2034,3.7951
RE1,PWRSOL001,2038,7.6625
RE1,PWRSOL001,2039,37.2502
RE1,PWRSOL001,2040,37.0537
RE1,PWRSOL001,2041,32.1619
RE1,PWRSOL001,2042,27.9294
RE1,PWRSOL001,2043,33.5322
RE1,PWRSOL001,2044,2.4763
RE1,PWRSOL001,2045,0.2936
RE1,PWRSOL001,2049,4.9664
RE1,PWRSOL001,2050,40.8089
RE1,PWRSOL001,2051,15.8353
RE1,PWRSOL001,2052,11.5796
RE1,PWRSOL001,2053,11.2271
RE1,PWRSOL001,2054,11.3072
RE1,PWRSOL001,2055,134.4438
RE1,PWRSOL001,2056,14.6529
RE1,PWRSOL001,2057,16.15
RE1,PWRSOL001,2058,25.0808
RE1,PWRSOL001,2059,31.9281
RE1,PWRSOL001,2060,6.5885
RE1,PWRSOL001,2061,36.8364
RE1,PWRSOL001,2062,36.23
RE1,PWRSOL001,2063,36.97
RE1,PWRSOL001,2064,21.0811
RE1,PWRSOL001,2065,21.3995
RE1,PWRSOL001,2066,22.6574
RE1,PWRSOL001,2067,7.7515
RE1,PWRSOL001,2068,14.788
RE1,PWRSOL001,2069,41.3835
RE1,PWRHYD001,2030,0.7255
RE1,PWRHYD001,2064,3.639
RE1,PWRHYD002,2030,0.0295
RE1,PWRHYD002,2064,0.148
RE1,PWRHYD003,2032,0.63
RE1,PWRWND001,2032,1.7942
RE1,PWRWND001,2033,20.3558
RE1,PWRWND001,2034,20.7424
RE1,PWRWND001,2035,21.2586
RE1,PWRWND001,2036,20.7926
RE1,PWRWND001,2037,23.0654
RE1,PWRWND001,2038,17.6596
RE1,PWRWND001,2039,13.8248
RE1,PWRWND001,2040,14.8717
RE1,PWRWND001,2041,18.6719
RE1,PWRWND001,2042,22.1782
RE1,PWRWND001,2043,19.6506
RE1,PWRWND001,2044,40.3545
RE1,PWRWND001,2045,44.7936
RE1,PWRWND002,2046,35.886
RE1,PWRWND002,2047,40.2281
RE1,PWRWND002,2048,39.3468
RE1,PWRWND002,2064,13.5782
RE1,PWRWND002,2065,22.7482
RE1,PWRWND002,2066,22.3784
RE1,PWRWND002,2067,25.1578
RE1,PWRWND002,2068,20.5113
RE1,PWRWND002,2069,16.9899
RE1,PWRSOL001S,2031,2.186
RE1,PWRSOL001S,2032,21.4246
RE1,PWRSOL001S,2033,3.087
RE1,PWRSOL001S,2034,10.2151
RE1,PWRSOL001S,2035,14.6758
