r,t,e,y,AnnualTechnologyEmission
RE1,IMPLFO,EMIC02,2035,552919.94
RE1,IMPLFO,EMIC02,2036,559375.21
RE1,IMPLFO,EMIC02,2037,565829.13
RE1,IMPLFO,EMIC02,2038,572281.74
RE1,IMPLFO,EMIC02,2039,578684.56
RE1,IMPLFO,EMIC02,2040,585086.17
RE1,IMPLFO,EMIC02,2041,591190.23
RE1,IMPLFO,EMIC02,2042,597293.39
RE1,IMPLFO,EMIC02,2043,603395.7
RE1,IMPLFO,EMIC02,2044,609497.17
RE1,IMPLFO,EMIC02,2045,615597.85
RE1,IMPLFO,EMIC02,2046,620361.59
RE1,IMPLFO,EMIC02,2047,625124.97
RE1,IMPLFO,EMIC02,2048,629888.0
RE1,IMPLFO,EMIC02,2049,634650.7
RE1,IMPLFO,EMIC02,2050,639413.06
RE1,IMPLFO,EMIC02,2051,644287.22
RE1,IMPLFO,EMIC02,2052,649199.08
RE1,IMPLFO,EMIC02,2053,654148.95
RE1,IMPLFO,EMIC02,2054,659137.13
RE1,IMPLFO,EMIC02,2055,664163.9
RE1,IMPLFO,EMIC02,2056,669229.58
RE1,IMPLFO,EMIC02,2057,674334.47
RE1,IMPLFO,EMIC02,2058,679478.86
RE1,IMPLFO,EMIC02,2059,684663.08
RE1,IMPLFO,EMIC02,2060,689887.42
RE1,IMPLFO,EMIC02,2061,695152.21
RE1,IMPLFO,EMIC02,2062,700457.76
RE1,IMPLFO,EMIC02,2063,705804.38
RE1,IMPLFO,EMIC02,2064,711192.4
RE1,IMPLFO,EMIC02,2065,716622.14
RE1,IMPLFO,EMIC02,2066,722093.93
RE1,IMPLFO,EMIC02,2067,727608.09
RE1,IMPLFO,EMIC02,2068,733164.95
RE1,IMPLFO,EMIC02,2069,738764.85
RE1,IMPLFO,EMIC02,2070,744408.13
RE1,MINNGS,EMIC02,2015,44030.313
RE1,MINNGS,EMIC02,2016,45879.987
RE1,MINNGS,EMIC02,2017,47512.36
RE1,MINNGS,EMIC02,2018,47512.36
RE1,MINNGS,EMIC02,2019,47512.36
RE1,MINNGS,EMIC02,2020,47512.36
RE1,MINNGS,EMIC02,2021,47512.36
RE1,MINNGS,EMIC02,2022,47512.36
RE1,MINNGS,EMIC02,2023,28935.539
