r,t,y,NewCapacity
RE1,MINWND,2017,1.358
RE1,MINWND,2018,1.358
RE1,MINWND,2019,1.358
RE1,MINWND,2020,1.358
RE1,MINWND,2021,1.358
RE1,MINWND,2022,1.3386
RE1,MINWND,2023,1.3386
RE1,MINWND,2024,1.3386
RE1,MINWND,2025,1.3386
RE1,MINWND,2026,1.3386
RE1,MINWND,2027,1.3386
RE1,MINWND,2028,1.3386
RE1,MINHYD,2015,51.7481
RE1,MINHYD,2016,51.7481
RE1,MINHYD,2017,51.7481
RE1,MINHYD,2018,51.7481
RE1,MINHYD,2019,51.7481
RE1,MINHYD,2020,51.7481
RE1,MINHYD,2021,51.7481
RE1,MINHYD,2022,51.7481
RE1,MINHYD,2023,51.7481
RE1,MINHYD,2024,51.7481
RE1,MINHYD,2025,51.7481
RE1,MINHYD,2026,51.7481
RE1,MINHYD,2027,51.7481
RE1,MINHYD,2028,51.7481
RE1,MINHYD,2029,51.7481
RE1,MINHYD,2030,51.7481
RE1,MINHYD,2031,51.7481
RE1,MINHYD,2032,51.7481
RE1,MINHYD,2033,51.7481
RE1,MINHYD,2034,51.7481
RE1,MINHYD,2035,51.7481
RE1,MINHYD,2036,51.7481
RE1,MINHYD,2037,51.7481
RE1,MINHYD,2038,51.7481
RE1,MINHYD,2039,51.7481
RE1,MINHYD,2040,51.7481
RE1,MINHYD,2041,51.7481
RE1,MINHYD,2042,51.7481
RE1,MINHYD,2043,51.7481
RE1,MINHYD,2044,51.7481
RE1,MINHYD,2045,51.7481
RE1,MINHYD,2046,51.7481
RE1,MINHYD,2047,51.7481
RE1,MINHYD,2048,51.7481
RE1,MINHYD,2049,51.7481
RE1,MINHYD,2050,51.7481
RE1,PWRCOA001,2017,0.0296
RE1,PWRCOA001,2018,1.1422
RE1,PWRCOA001,2019,1.4533
RE1,PWRCOA001,2020,1.4523
RE1,PWRCOA001,2021,1.1072
RE1,PWRCOA001,2022,1.1071
RE1,PWRCOA001,2023,8.8852
RE1,PWRCOA001,2024,13.2224
RE1,PWRCOA001,2025,3.5043
RE1,PWRCOA001,2026,1.195
RE1,PWRCOA001,2027,1.1942
RE1,PWRCOA001,2028,1.1935
RE1,PWRCOA001,2029,1.5649
RE1,PWRCOA001,2030,1.1919
RE1,PWRCOA001,2031,4.9072
RE1,PWRCOA001,2032,1.3652
RE1,PWRCOA001,2033,1.3643
RE1,PWRCOA001,2034,1.7251
RE1,PWRCOA001,2035,1.3625
RE1,PWRCOA001,2036,1.0894
RE1,PWRCOA001,2037,2.4337
RE1,PWRCOA001,2038,1.088
RE1,PWRCOA001,2039,1.1038
RE1,PWRCOA001,2040,1.1031
RE1,PWRCOA001,2041,1.0791
RE1,PWRCOA001,2042,1.7384
RE1,PWRCOA001,2043,1.0777
RE1,PWRCOA001,2044,1.0781
RE1,PWRCOA001,2045,1.0763
RE1,PWRCOA001,2046,0.7423
RE1,PWRCOA001,2047,0.7418
RE1,PWRCOA001,2048,0.7414
RE1,PWRCOA001,2049,0.7409
RE1,PWRCOA001,2050,0.744
RE1,PWRCOA001,2051,2.1766
RE1,PWRCOA001,2052,0.8075
RE1,PWRCOA001,2053,0.8165
RE1,PWRCOA001,2054,0.8256
RE1,PWRCOA001,2055,0.8367
RE1,PWRCOA001,2056,0.8528
RE1,PWRCOA001,2057,0.8623
RE1,PWRCOA001,2058,0.8719
RE1,PWRCOA001,2059,0.8817
RE1,PWRCOA001,2060,0.8915
RE1,PWRCOA001,2061,0.9014
RE1,PWRCOA001,2062,0.9115
RE1,PWRCOA001,2063,0.9217
RE1,PWRCOA001,2064,0.9319
RE1,PWRCOA001,2065,0.9423
RE1,PWRCOA001,2066,0.9529
RE1,PWRCOA001,2067,0.9635
RE1,PWRCOA001,2068,0.9742
RE1,PWRCOA001,2069,0.9851
RE1,PWRCOA001,2070,0.9961
RE1,PWRTRNIMP,2015,3.1333
RE1,PWRTRNIMP,2016,3.9256
RE1,PWRTRNIMP,2017,4.5797
RE1,PWRTRNIMP,2018,4.9165
RE1,PWRTRNIMP,2019,4.998
RE1,PWRTRNIMP,2020,5.0795
RE1,PWRTRNIMP,2021,5.1419
RE1,PWRTRNIMP,2022,5.204
RE1,PWRTRNIMP,2023,5.2663
RE1,PWRTRNIMP,2024,5.3285
RE1,PWRTRNIMP,2025,5.3907
RE1,PWRTRNIMP,2026,5.4579
RE1,PWRTRNIMP,2027,5.5251
RE1,PWRTRNIMP,2028,5.5923
RE1,PWRTRNIMP,2029,5.6453
RE1,PWRTRNIMP,2030,5.7123
RE1,PWRTRNIMP,2031,5.789
RE1,PWRTRNIMP,2032,5.8657
RE1,PWRTRNIMP,2033,5.9423
RE1,PWRTRNIMP,2034,6.3081
RE1,PWRTRNIMP,2035,6.3846
RE1,PWRTRNIMP,2036,6.446
RE1,PWRTRNIMP,2037,6.5073
RE1,PWRTRNIMP,2038,6.5686
RE1,PWRTRNIMP,2039,6.6298
RE1,PWRTRNIMP,2040,6.691
RE1,PWRTRNIMP,2041,6.7509
RE1,PWRTRNIMP,2042,6.8107
RE1,PWRTRNIMP,2043,6.8705
RE1,PWRTRNIMP,2044,6.9309
RE1,PWRTRNIMP,2045,6.9906
RE1,PWRTRNIMP,2046,7.0318
RE1,PWRTRNIMP,2047,7.0729
RE1,PWRTRNIMP,2048,7.1141
RE1,PWRTRNIMP,2049,7.1552
RE1,PWRTRNIMP,2050,7.1936
RE1,PWRTRNIMP,2051,6.9155
RE1,PWRTRNIMP,2052,6.9536
RE1,PWRTRNIMP,2053,6.9922
RE1,PWRTRNIMP,2054,7.0311
RE1,PWRTRNIMP,2055,7.0691
RE1,PWRTRNIMP,2056,7.1024
RE1,PWRTRNIMP,2057,7.1361
RE1,PWRTRNIMP,2058,7.1702
RE1,PWRTRNIMP,2059,7.2046
RE1,PWRTRNIMP,2060,7.2395
RE1,PWRTRNIMP,2061,7.2747
RE1,PWRTRNIMP,2062,7.3103
RE1,PWRTRNIMP,2063,7.3463
RE1,PWRTRNIMP,2064,7.3827
RE1,PWRTRNIMP,2065,7.4195
RE1,PWRTRNIMP,2066,7.4568
RE1,PWRTRNIMP,2067,7.4944
